SMILES,Mpexp,GNN1,GNN2,GNN3,GNN4,GNN5,GNN6,GNN7,GNN8,GNN9,GNN10,consensus GNN,SD
OC(=O)C1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=CC=C1,294,261.59625,290.84186,281.20248,266.13202,283.33517,260.83795,305.10727,274.21136,272.693,264.22894,276.01863,13.5491961405148
CC1=NN(C2=C1C=C(S2)C(O)=O)C1=CC=CC=C1,235,193.82988,205.15883,205.28416,215.57141,211.08018,204.03403,228.82603,213.17146,176.63512,196.88889,205.047999,13.3391150337992
OC(=O)C1=C(Cl)C2=C(C=C1)C(=O)C1=C(C=CC=C1)C2=O,200,267.80283,308.88696,286.9752,256.6525,292.5103,296.6166,273.33676,294.81476,293.0916,244.09999,281.47875,19.2660716314479
CC1=NN(C2=C1C=C(S2)C(O)=O)C1=CC=C(Cl)C=C1,234,186.00352,213.41376,205.25398,228.96295,222.41125,201.98462,226.7592,217.67892,205.6293,204.86731,211.296481,12.475431550358
CC1=NN(C2=C1C=C(S2)C(O)=O)C1=C(Cl)C=CC=C1,57,217.05873,227.60855,212.30725,206.86156,221.20714,215.02107,226.92534,244.96233,190.6884,227.55309,219.019346,13.792264263026
CC1=CC(SCC(O)=O)=C(C)C=C1,74,96.8658,115.21075,103.44967,86.35112,104.091156,102.429886,113.32247,102.68838,79.46965,80.75571,98.4634592,11.895243433013
OC(=O)CSC1=C(Cl)C=CC(Cl)=C1,130,116.929665,122.84639,126.58788,111.78655,96.98263,111.76804,136.24025,139.68344,109.57388,89.12197,116.1520695,15.1368056666617
OC(=O)COC1=C(F)C=CC=C1,139,116.49819,121.8542,132.74992,121.501625,95.97542,102.655556,119.01008,133.83641,118.05534,137.2812,119.9417941,12.4633066655315
OC(=O)COC1=CC(Br)=CC=C1,109,111.36544,128.13887,127.5216,132.18764,117.19875,111.25988,142.30006,131.35254,133.51884,108.97655,124.382017,10.8100608749323
CC(C)C1=C(OCC(O)=O)C=C(C)C=C1,127,103.81857,111.82587,144.02243,102.14561,107.23905,108.76398,124.19259,76.66793,119.38504,102.65286,110.071393,16.505685770641
OC(=O)C=CC1=CC=C(Br)O1,130,136.51381,143.46246,127.924995,161.48488,138.51274,137.6151,174.56601,134.39499,151.82597,146.25868,145.2559635,13.2982929645872
OC(=O)C(=CC1=CC=C(Cl)C=C1)C#N,202,202.48459,217.5542,214.00952,222.5091,204.25954,210.55122,222.79752,196.85379,219.71484,238.14005,214.887437,11.4163363847664
COC1=C(OC(F)F)C=CC(=C1)C(O)=O,172,134.55992,171.55423,143.35394,163.19373,177.76453,130.99123,173.92352,174.61223,145.69922,162.02228,157.767483,16.7069406756199
OC(=O)C1=C(NC2=CC=C(SC(F)F)C=C2)C=CC=C1,117,148.39865,167.02333,140.30072,159.87897,189.60579,118.23018,174.9122,164.1715,112.60817,116.272804,149.1402314,25.3213309931628
OC(=O)C1=CC(=C(C=C1)N1CCOCC1)[N+]([O-])=O,187,175.6719,188.33463,179.7435,190.35501,142.93633,178.53683,166.68588,184.68605,185.24281,145.97812,173.817106,16.0414010634042
OC(=O)C1=CC(=C(C=C1)N1CCCC1)[N+]([O-])=O,260,176.89279,167.45753,154.38112,170.77396,173.008,168.02094,179.21898,161.4231,188.21606,155.37422,169.47667,10.0649899264629
OC(=O)COC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,154,144.15637,142.13243,143.49234,144.4012,131.77692,140.7041,144.00073,167.47324,146.71133,140.66391,144.551257,8.54770467190351
OC(=O)C1=CC(NC(=O)C2=CC=CS2)=C(Cl)C=C1,167,173.40807,218.48782,215.43248,200.17047,177.83368,215.96672,214.99918,187.59268,173.068,219.81955,199.677865,18.7867748302481
CC1=CC(OCCC(O)=O)=CC=C1,100,74.76963,66.83428,60.483727,55.169277,87.081856,71.76457,73.78005,92.004196,70.08722,68.40172,72.0376526,10.4771165230279
CC1=CC=C(SCCC(O)=O)C=C1,72,104.22356,87.20137,87.13891,72.94184,72.975365,67.72328,68.25041,86.71056,77.012856,66.39007,79.0568221,11.4360284077064
OC(=O)CCSC1=C(Cl)C=CC=C1,97,90.32393,80.97978,79.78398,98.44691,72.53095,96.809654,126.51874,122.37125,85.18321,92.768684,94.5717088,16.7693285775254
