SMILES,MP exp,GNN1,GNN2,GNN3,GNN4,GNN5,GNN6,GNN7,GNN8,GNN9,GNN10,consensus GNN,SD
CC1CCC1,-161.5,-56.216427,-45.908875,-86.33863,-73.516266,-78.41785,-69.063774,-41.103947,-46.763744,-56.291245,-54.90649,-60.8527248,14.4060539594238
[O-][N+]#N,-90.81,-106.39714,-62.032944,-110.90083,-139.95863,-98.246765,-103.95808,-25.755533,-132.04066,-81.05452,-87.67709,-94.8022192,31.6166760145716
FS(F)(=O)=O,-135.8,-92.723816,-107.02262,-111.123604,-96.1813,-136.63594,-139.39294,-57.41071,-47.739216,-232.9297,-109.62095,-113.0780796,48.7156199079763
CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C,94.78,169.61336,166.07971,172.91605,134.23834,142.06622,149.41994,154.94124,166.11562,155.66478,192.54196,160.359722,15.9150756424937
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12,239.8,216.52104,243.91846,236.52846,196.69217,252.95142,259.48383,178.3724,200.84363,174.77194,183.60226,214.368561,30.3289880509058
CN(C)C,-117,-81.47679,-45.934864,-47.061085,-62.624886,-104.1754,-81.79331,-56.20421,-52.23724,-0.9372389,-0.43212765,-53.287715155,31.4970830147936
ClC(Cl)(Cl)Cl,-22.96,7.0015674,-10.437567,-16.413195,-45.192688,-12.070924,17.930595,-23.268612,9.446758,-3.1120934,18.966131,-5.7150028,19.0010695343549
C#C,-80.75,-41.023502,-156.98991,-15.592071,-38.589188,-122.06352,-134.07588,-138.99265,-44.141224,-15.992538,-80.51849,-78.7978973,51.8190591424372
CC(Cl)Cl,-96.95,-109.1583,-91.15814,-85.94563,-95.260056,-102.60065,-89.32246,-96.75048,-100.70463,-68.431206,-112.03386,-95.1365412,11.9111069302231
CC(CO)(CO)[N+]([O-])=O,150.1,84.15486,118.48617,102.84177,105.66194,100.82216,82.20102,104.00357,108.57943,105.93423,94.19997,100.688512,10.5079490773089
ClC1=CC=CS1,-71.95,-55.83717,-73.65574,-23.05843,-72.18451,-11.054825,-71.84729,-37.413044,-69.55397,-50.98988,-48.169815,-51.3764674,20.8131449360952
CCCOC(=O)CC,-75.95,-51.549072,-69.83352,-78.4008,-50.271545,-47.82841,-62.672382,-64.39831,-73.32613,-53.291714,-86.16861,-63.7740493,12.4134259835681
CC(=C)OC(C)=O,-92.95,-79.67505,3.3449051,-38.42519,-46.82772,-64.80873,-37.543686,-63.729366,-67.400154,-58.996426,-57.09277,-51.11541869,22.0337188207904
CCCOC=O,-92.95,-69.547615,-76.03374,-87.52994,-68.95163,-82.63698,-85.975464,-93.72238,-71.69962,-90.41953,-118.534904,-84.5051803,14.1214334879142
CC1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,80.05,93.60133,95.87819,90.6308,101.49306,84.9582,98.30421,75.34148,105.32111,89.30372,102.67419,93.750629,8.62813434337511
