SMILES,MP,GNN1,GNN2,GNN3,GNN4,GNN5,GNN6,GNN7,GNN8,GNN9,GNN10,consensus GNN,SD
OC(=O)C1=C2C(=O)C3=C(C=CC=C3)C(=O)C2=CC=C1,294,277.56638,259.69858,289.6815,269.32062,268.42853,246.9657,271.86237,293.00778,280.13022,255.38556,271.204724,13.8519198357182
CC1=NN(C2=C1C=C(S2)C(O)=O)C1=CC=CC=C1,235,230.10802,205.41931,210.16559,183.14574,193.26848,181.71147,213.74007,197.02853,165.56091,212.66966,199.281778,18.005784387691
OC(=O)C1=C(Cl)C2=C(C=C1)C(=O)C1=C(C=CC=C1)C2=O,200,277.1877,302.11795,307.25262,256.01346,273.12946,263.75223,317.9805,303.49216,295.68997,276.80704,287.342309,19.5909203223235
CC1=NN(C2=C1C=C(S2)C(O)=O)C1=CC=C(Cl)C=C1,234,227.24593,221.24258,216.32535,215.91225,211.28453,190.74713,211.76074,230.13441,206.24005,198.18585,212.907882,11.61358574354
CC1=NN(C2=C1C=C(S2)C(O)=O)C1=C(Cl)C=CC=C1,57,247.77132,232.642,228.10402,221.80576,189.06438,191.72968,200.25412,205.97267,199.11752,220.11578,213.657725,18.3759040149677
CC1=CC(SCC(O)=O)=C(C)C=C1,74,102.53343,95.63248,87.94643,109.44078,86.58619,81.775375,91.61634,63.84437,94.63475,103.8641,91.7874245,12.3237420413133
OC(=O)CSC1=C(Cl)C=CC(Cl)=C1,130,137.20415,115.15436,105.65294,131.45473,117.383224,114.2563,90.35499,79.617004,117.598816,95.78503,110.4461544,16.9862690536364
OC(=O)COC1=C(F)C=CC=C1,139,132.18874,123.5183,111.521645,117.180084,108.261444,110.024635,119.69535,99.407135,111.5957,138.04288,117.1435913,11.030982831914
OC(=O)COC1=CC(Br)=CC=C1,109,125.57297,127.83816,123.982445,122.11254,119.55946,105.21547,120.23192,102.61061,114.7737,127.50418,118.9401455,8.40495406327615
CC(C)C1=C(OCC(O)=O)C=C(C)C=C1,127,114.31681,115.09956,106.8519,134.29144,128.23145,109.84401,110.06379,129.97183,116.4839,106.79167,117.194636,9.54263897055128
OC(=O)C=CC1=CC=C(Br)O1,130,139.15182,164.70166,111.420685,160.19841,171.32076,172.97107,158.23962,154.90062,126.26522,149.36986,150.8539725,18.8594522038077
OC(=O)C(=CC1=CC=C(Cl)C=C1)C#N,202,253.84076,200.4639,225.29625,215.79506,194.46538,211.9082,272.0394,197.85976,226.01114,191.76083,218.944068,25.121317746006
COC1=C(OC(F)F)C=CC(=C1)C(O)=O,172,171.87117,153.60374,157.67763,170.88716,156.05055,148.77145,156.20013,153.70457,161.19606,131.16931,156.113177,10.876928476423
OC(=O)C1=C(NC2=CC=C(SC(F)F)C=C2)C=CC=C1,117,165.86223,136.7151,130.88567,131.82419,174.55219,163.35495,149.67523,164.40176,182.75128,164.00348,156.402608,17.2374806186089
OC(=O)C1=CC(=C(C=C1)N1CCOCC1)[N+]([O-])=O,187,167.25603,116.629944,166.47101,186.4002,174.57259,164.87422,174.07787,179.87218,185.3769,150.2821,166.5813044,19.5114160911896
OC(=O)C1=CC(=C(C=C1)N1CCCC1)[N+]([O-])=O,260,153.88988,138.88246,179.01213,177.15625,162.25496,161.60098,165.15689,171.64268,152.06592,140.99963,160.266178,13.1610437853096
OC(=O)COC1=CC=C(C=C1)C(=O)C1=CC=CC=C1,154,135.67267,148.65936,126.958885,135.89677,141.08891,147.00954,137.83376,131.05983,141.72466,150.04523,139.5949615,7.19580867439166
OC(=O)C1=CC(NC(=O)C2=CC=CS2)=C(Cl)C=C1,167,211.4059,204.78865,215.73137,232.90056,216.7653,195.1598,221.07008,209.65883,203.01883,226.47964,213.697896,10.764078145195
CC1=CC(OCCC(O)=O)=CC=C1,100,78.83337,73.72058,83.07645,74.279686,55.53201,76.63133,66.38162,68.01964,102.546234,82.45021,76.147113,11.7808627188189
CC1=CC=C(SCCC(O)=O)C=C1,72,69.07062,83.87471,69.89935,89.25705,70.044395,90.737114,70.901115,84.075096,87.56291,92.50097,80.792333,9.18243201058996
OC(=O)CCSC1=C(Cl)C=CC=C1,97,123.1439,74.5064,79.98469,91.099144,83.26959,99.28234,88.50153,82.00102,90.882675,83.75315,89.6424439,12.9471905622629
CC1CC(C)CN(C1)C1=C(C=C(C=C1)C(O)=O)[N+]([O-])=O,168,150.7163,157.83975,153.07787,167.85654,148.84146,119.72655,155.62881,149.92506,124.292366,126.94103,145.4845736,15.259505122105
OC(=O)C1=C(OCC2=CC=C(Cl)C=C2)C=CC=C1,86,114.47097,110.55956,121.31873,120.73737,117.083206,124.05013,148.53879,126.38578,118.29243,102.946884,120.438385,11.375102422063
OC(=O)C1=C(OCC2=C(Cl)C=C(Cl)C=C2)C=CC=C1,163,154.2206,136.84378,158.94885,151.92279,144.68776,175.87042,162.54327,158.62508,191.87296,147.6018,158.313731,15.072550181858
OC(=O)C1=C(OCC2=C(Cl)C=CC=C2)C=CC=C1,120,130.36165,136.08577,149.9206,153.46207,121.45253,151.53459,171.1915,117.37096,184.1029,130.79625,144.627882,20.4095689276235
OC(=O)CCSC1=CC=CC=C1,60,69.66919,48.287292,62.038013,62.050446,52.009083,63.242783,63.02473,66.59562,77.55632,61.037586,62.5511063,7.81204009008227
OC(=O)C1=CC=CC2=CC=CC(C3=CC=CC4=CC=CC(C(O)=O)=C34)=C12,285,293.89078,298.5588,351.13437,373.49023,308.89062,322.9766,313.12445,331.7461,329.98346,315.1743,323.896971,22.9359666813245
