SMILES,MP
OC(=O)C1CCCO1,21.0
O=C(O)C1CCCO1,21.0
[O]=[C]([OH])[CH]1[CH2][CH2][CH2][O]1,21.0
OC(O)=C1CCCO1,21.0
CCCCCCCCOc1c(OCCCCCCCC)cc(cc1OCCCCCCCC)N(C(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,73.5
CCCCCCCCOC1=C(OCCCCCCCC)C(OCCCCCCCC)=CC(N(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)=C1,73.5
CCCCCCCCOc1cc(N(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)cc(OCCCCCCCC)c1OCCCCCCCC,73.5
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH2][O][c]1[cH][c]([N]([NH][C](=[O])[O][C]([CH3])([CH3])[CH3])[C](=[O])[O][C]([CH3])([CH3])[CH3])[cH][c]([O][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3])[c]1[O][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH3],73.5
CCCCCCCCOc1cc(N(N=C(O)OC(C)(C)C)C(=O)OC(C)(C)C)cc(OCCCCCCCC)c1OCCCCCCCC,73.5
CCCCCCCCOC1=C(OCCCCCCCC)C(OCCCCCCCC)=CC(N(N=C(O)OC(C)(C)C)C(=O)OC(C)(C)C)=C1,73.5
FC1CCCCC1,13.0
[F][CH]1[CH2][CH2][CH2][CH2][CH2]1,13.0
NC(=O)CCC(C(=O)O)NC(=O)C,197.0
CC(=O)NC(CCC(N)=O)C(=O)O,197.0
[CH3][C](=[O])[NH][CH]([CH2][CH2][C]([NH2])=[O])[C](=[O])[OH],197.0
CC(O)=NC(CCC(=N)O)C(=O)O,197.0
C=C(O)NC(CC=C(N)O)=C(O)O,197.0
C=C(O)NC(CC=C(N)O)C(=O)O,197.0
C=C(O)NC(CCC(=N)O)=C(O)O,197.0
C=C(O)NC(CCC(=N)O)C(=O)O,197.0
C=C(O)NC(CCC(N)=O)=C(O)O,197.0
C=C(O)NC(CCC(N)=O)C(=O)O,197.0
CC(=O)NC(CC=C(N)O)=C(O)O,197.0
CC(=O)NC(CC=C(N)O)C(=O)O,197.0
CC(=O)NC(CCC(=N)O)=C(O)O,197.0
CC(=O)NC(CCC(=N)O)C(=O)O,197.0
CC(=O)NC(CCC(N)=O)=C(O)O,197.0
CC(O)=NC(CC=C(N)O)=C(O)O,197.0
CC(O)=NC(CC=C(N)O)C(=O)O,197.0
CC(O)=NC(CCC(=N)O)=C(O)O,197.0
CC(O)=NC(CCC(N)=O)=C(O)O,197.0
CC(O)=NC(CCC(N)=O)C(=O)O,197.0
COc1cc(O)c(c(c1)O)C(=O)c1ccccc1,130.5
COC1=CC(O)=C(C(=O)C2=CC=CC=C2)C(O)=C1,130.5
COc1cc(O)c(C(=O)c2ccccc2)c(O)c1,130.5
[CH3][O][c]1[cH][c]([OH])[c]([C](=[O])[c]2[cH][cH][cH][cH][cH]2)[c]([OH])[cH]1,130.5
COC1=CC(=O)C(=C(O)c2ccccc2)C(=O)C1,130.5
COC1=CC(=O)C(=C(O)c2ccccc2)C(O)=C1,130.5
COC1=CC(=O)C(C(=O)c2ccccc2)=C(O)C1,130.5
COC1=CC(=O)C(C(=O)c2ccccc2)C(=O)C1,130.5
COC1=CC(=O)C(C(=O)c2ccccc2)C(O)=C1,130.5
COC1=CC(O)=C(C(=O)c2ccccc2)C(=O)C1,130.5
O=C(c1ccccn1)c1ccccc1,43.0
O=C(C1=CC=CC=C1)C1=CC=CC=N1,43.0
O=C(c1ccccc1)c1ccccn1,43.0
[O]=[C]([c]1[cH][cH][cH][cH][cH]1)[c]1[cH][cH][cH][cH][n]1,43.0
CC1=NN(C(=O)C1C(C1(Br)C(=NN(C1=O)c1ccccc1)C)Br)c1ccccc1,308.0
CC1=NN(C2=CC=CC=C2)C(=O)C1C(Br)C1(Br)C(=O)N(C2=CC=CC=C2)N=C1C,308.0
CC1=NN(c2ccccc2)C(=O)C1C(Br)C1(Br)C(=O)N(c2ccccc2)N=C1C,308.0
[CH3][C]1=[N][N]([c]2[cH][cH][cH][cH][cH]2)[C](=[O])[CH]1[CH]([Br])[C]1([Br])[C](=[O])[N]([c]2[cH][cH][cH][cH][cH]2)[N]=[C]1[CH3],308.0
CC1=NN(c2ccccc2)C(=O)C1(Br)C(Br)c1c(C)[nH]n(-c2ccccc2)c1=O,308.0
CC1=NN(c2ccccc2)C(=O)C1(Br)C(Br)c1c(C)nn(-c2ccccc2)c1O,308.0
Cc1ccc(cc1)C(C)C,-68.0
CC1=CC=C(C(C)C)C=C1,-68.0
Cc1ccc(C(C)C)cc1,-68.0
[CH3][c]1[cH][cH][c]([CH]([CH3])[CH3])[cH][cH]1,-68.0
OC(=O)Cc1cccc(c1)C(F)(F)F,78.0
O=C(O)CC1=CC=CC(C(F)(F)F)=C1,78.0
O=C(O)Cc1cccc(C(F)(F)F)c1,78.0
[O]=[C]([OH])[CH2][c]1[cH][cH][cH][c]([C]([F])([F])[F])[cH]1,78.0
O=C(O)CC1=CC(C(F)(F)F)=CC=C1,78.0
OC(O)=Cc1cccc(C(F)(F)F)c1,78.0
FC(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(F)F,4.0
FC(F)(F)C(F)(Cl)C(Cl)(Cl)C(F)(F)F,4.0
[F][C]([F])([F])[C]([F])([Cl])[C]([Cl])([Cl])[C]([F])([F])[F],4.0
CNC(=O)OCc1cccc(n1)COC(=O)NC,136.5
CNC(=O)OCC1=CC=CC(COC(=O)NC)=N1,136.5
CNC(=O)OCc1cccc(COC(=O)NC)n1,136.5
[CH3][NH][C](=[O])[O][CH2][c]1[cH][cH][cH][c]([CH2][O][C](=[O])[NH][CH3])[n]1,136.5
CN=C(O)OCc1cccc(COC(O)=NC)n1,136.5
CN=C(O)OCC1=NC(COC(O)=NC)=CC=C1,136.5
CN=C(O)OCc1cccc(COC(=O)NC)n1,136.5
OC(=O)C(Cl)(C)C,31.0
CC(C)(Cl)C(=O)O,31.0
[CH3][C]([CH3])([Cl])[C](=[O])[OH],31.0
CCOC(=O)c1cc2cc(c(cc2c(=O)o1)C(F)(F)F)C(F)(F)F,192.85
CCOC(=O)C1=CC2=CC(C(F)(F)F)=C(C(F)(F)F)C=C2C(=O)O1,192.85
CCOC(=O)c1cc2cc(C(F)(F)F)c(C(F)(F)F)cc2c(=O)o1,192.85
[CH3][CH2][O][C](=[O])[c]1[cH][c]2[cH][c]([C]([F])([F])[F])[c]([C]([F])([F])[F])[cH][c]2[c](=[O])[o]1,192.85
CCCCCCCCCCOc1ccc(cc1)C(=O)O,97.0
CCCCCCCCCCOC1=CC=C(C(=O)O)C=C1,97.0
CCCCCCCCCCOc1ccc(C(=O)O)cc1,97.0
[CH3][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][O][c]1[cH][cH][c]([C](=[O])[OH])[cH][cH]1,97.0
C/C(=N\Cc1cccnc1)/c1c(O)c2ccccc2n(c1=O)c1ccccc1,222.0
C/C(=N\CC1=CC=CN=C1)C1=C(O)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O,222.0
C/C(=N\Cc1cccnc1)c1c(O)c2ccccc2n(-c2ccccc2)c1=O,222.0
[CH3]/[C](=[N]\[CH2][c]1[cH][cH][cH][n][cH]1)[c]1[c]([OH])[c]2[cH][cH][cH][cH][c]2[n](-[c]2[cH][cH][cH][cH][cH]2)[c]1=[O],222.0
C/C(=N\CC1=CN=CC=C1)C1=C(O)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O,222.0
C=C(NCc1cccnc1)C1C(=O)c2ccccc2N(c2ccccc2)C1=O,222.0
C=C(NCc1cccnc1)c1c(O)c2ccccc2n(-c2ccccc2)c1=O,222.0
C=C(NCc1cccnc1)c1c(O)n(-c2ccccc2)c2ccccc2c1=O,222.0
CC(=NCc1cccnc1)C1C(=O)c2ccccc2N(c2ccccc2)C1=O,222.0
