SMILES,MP
OC(=O)Cc1ccc(c(c1)C)F,106.0
CC1=CC(CC(=O)O)=CC=C1F,106.0
Cc1cc(CC(=O)O)ccc1F,106.0
[CH3][c]1[cH][c]([CH2][C](=[O])[OH])[cH][cH][c]1[F],106.0
CC1=C(F)C=CC(CC(=O)O)=C1,106.0
Cc1cc(C=C(O)O)ccc1F,106.0
O=C1N(N=C(C1=NNc1[nH]nc(c1)c1ccccc1)C(F)(F)F)c1ccccc1,280.0
O=C1C(=NNC2=CC(C3=CC=CC=C3)=NN2)C(C(F)(F)F)=NN1C1=CC=CC=C1,280.0
O=C1C(=NNc2cc(-c3ccccc3)n[nH]2)C(C(F)(F)F)=NN1c1ccccc1,280.0
[O]=[C]1[C](=[N][NH][c]2[cH][c](-[c]3[cH][cH][cH][cH][cH]3)[n][nH]2)[C]([C]([F])([F])[F])=[N][N]1[c]1[cH][cH][cH][cH][cH]1,280.0
O=C1C(=NNc2cc(-c3ccccc3)[nH]n2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=C1C(=NNC2=NNC(C3=CC=CC=C3)=C2)C(C(F)(F)F)=NN1C1=CC=CC=C1,280.0
O=C1C(=NN=C2CC(c3ccccc3)=NN2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=C1C(=NN=c2cc(-c3ccccc3)[nH][nH]2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=C1C(=NNC2=NN=C(c3ccccc3)C2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=C1C(N=NC2=NN=C(c3ccccc3)C2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=C1C(N=Nc2cc(-c3ccccc3)[nH]n2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=C1C(N=Nc2cc(-c3ccccc3)n[nH]2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=C1C(NN=C2C=C(c3ccccc3)N=N2)C(C(F)(F)F)=NN1c1ccccc1,280.0
O=c1c(N=NC2=NN=C(c3ccccc3)C2)c(C(F)(F)F)[nH]n1-c1ccccc1,280.0
O=c1c(N=Nc2cc(-c3ccccc3)[nH]n2)c(C(F)(F)F)[nH]n1-c1ccccc1,280.0
O=c1c(N=Nc2cc(-c3ccccc3)n[nH]2)c(C(F)(F)F)[nH]n1-c1ccccc1,280.0
O=c1c(NN=C2C=C(c3ccccc3)N=N2)c(C(F)(F)F)[nH]n1-c1ccccc1,280.0
Oc1c(N=NC2=NN=C(c3ccccc3)C2)c(C(F)(F)F)nn1-c1ccccc1,280.0
Oc1c(N=Nc2cc(-c3ccccc3)[nH]n2)c(C(F)(F)F)nn1-c1ccccc1,280.0
Oc1c(N=Nc2cc(-c3ccccc3)n[nH]2)c(C(F)(F)F)nn1-c1ccccc1,280.0
Oc1c(NN=C2C=C(c3ccccc3)N=N2)c(C(F)(F)F)nn1-c1ccccc1,280.0
OCc1ccc(c(c1)[N+](=O)[O-])Cl,63.0
O=[N+]([O-])C1=CC(CO)=CC=C1Cl,63.0
O=[N+]([O-])c1cc(CO)ccc1Cl,63.0
[O]=[N+]([O-])[c]1[cH][c]([CH2][OH])[cH][cH][c]1[Cl],63.0
O=[N+]([O-])C1=C(Cl)C=CC(CO)=C1,63.0
OC(=O)CCCCCCCCCC(=O)O,109.0
O=C(O)CCCCCCCCCC(=O)O,109.0
[O]=[C]([OH])[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][C](=[O])[OH],109.0
O=C(O)CCCCCCCCC=C(O)O,109.0
