SMILES,MP
CCCOCOCCC,-97.3
O=C1NC2=Cc3c(C2(Cc2c1cccc2)O)cccc3,209.0
Fc1cc(F)c(c(c1F)B(O)O)F,143.0
O=C1Cc2c1c(C)cc(c2C)C,98.0
OCc1cccs1,0.0
Ic1ccccc1,-31.0
CCCCCCc1ccc(cc1O)O,66.0
[O-][N+](=O)c1cccnc1Cl,101.0
CC(=O)Nc1ccc(cc1)N(C(=O)C)Nc1ccccc1,199.0
S=c1nc[nH]c2c1N=C[N]2,313.0
CC1CC(=O)C(C1)(C)C,-40.6
N#Cc1ccc(c(c1)Br)C,41.0
Oc1cccc2c1ccs2,79.8
COc1cc(F)c(cc1F)Br,63.0
CCCCCCCCCCCCCCCCCC[Si](OC)(OC)OC,15.0
OB(c1cc2ccccc2nc1Br)O,146.0
[O-][N+](=O)c1ccc(c(c1)O)N,208.5
CCc1cccc(c1)Cl,-55.0
O=C(c1cc(Br)ccc1O)C(=O)c1cc(Br)ccc1O,212.5
O=C(N[S+2](c1ccc(cc1)C(=O)C)([O-])[O-])NC1CCCCC1,188.0
Cc1cc(C(=O)C)c(cc1C)C,10.0
NS(=O)(=O)c1ccccc1,153.0
CC(=O)C1C(=O)C=C2C(C1=O)(C)c1c(O)c(C)c(c(c1O2)C(=O)C)O,204.0
CCCC(S)C,-112.0
Oc1c(C)cccc1I,15.5
c1ccc(cc1)n1cccc1,59.0
C=CC1CNCCC1CCC(=O)c1ccnc2c1cc(OC)cc2,60.0
O=C(C1C(=O)C2(C(C1CC2)(C)C)C)c1cccc2c1cccc2,104.0
CNC(=O)C=CC(=O)O,156.0
CCCCCCCC(=O)Cl,-63.0
CC=CC1Nn2c(S1)nnc2c1cccnc1,121.0
[O-][N+](=O)c1c(O)c(Cl)cc(c1Cl)Cl,92.5
CN(/C=C/[N+](=O)[O-])C,103.0
NCCCCCO,36.0
N#CC1(OC(=O)c2ccccc2)Cc2c1cccc2,112.0
CCCCCC#CCO,-18.0
Cc1cc(C)cc(c1S(=O)(=O)Cl)C,55.0
CCCCCCCCCCCCCCCCC(=O)O,61.0
O[Si](c1ccccc1)(c1ccccc1)c1ccccc1,152.0
CCCCCCCCCCCC[N+](C)(C)[O-],132.5
C=CCC(C)(C)C,-137.0
[O-][N+](=O)c1c(Cl)ccc2c1cccc2,99.5
