SMILES;MP;split;Nr
BrB(Br)Br;-46;Test;17662
O=S(c1ccccc1)c1ccccc1;71;Test;6966
CC1(C)CC1;-109;Test;13146
CCCCCCCCCCS(=O)(=O)Cl;32;Test;223
N#CC(Nc1nc(NC2CC2)nc(n1)Cl)(C)C;170;Test;22549
Nc1ccc(cc1)c1ccc(cc1)N;128;Test;15621
CCCCCCCC(=O)NO;78.75;Test;17723
Oc1cc(O)cc(c1)O;218;Test;8280
NCCN1CCNCC1;-19;Test;848
Clc1cc(Cl)c2c(c1O)nccc2;181;Test;5665
CCC(Cc1c[nH]c2c1cccc2)N;97;Test;20287
COc1ccc(cc1)N(C(=O)c1ccc(cc1)Cl)CCCC(=O)O;115.5;Test;17348
COc1cccc(c1)O;-18;Test;4062
Clc1ccccn1;-46;Test;2494
OCCCCSc1ccc(cc1F)S(=O)(=O)N;104;Test;26068
CCCCCCCCC(C(=O)O)C(=O)O;116;Test;18886
CCC(=O)NC;-30.9;Test;18601
O=C([C@@H]1CCCC[C@@H]1C(=O)O)OC(=O)[C@H]1CCCC[C@H]1C(=O)O;34;Test;6659
O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3C[C@@H]2c1ccc(=O)oc1)C)C;155;Test;24963
N#Cc1ccccc1C(=O)O;211;Test;2524
OC(=O)CC1=C(C)/C(=C/c2ccc(cc2)S(=O)C)/c2c1cc(F)cc2;183.5;Test;28563
CCOc1ccc2c(c1)[nH]c(n2)S;249;Test;5887
OC(=O)CCc1ccc(c(c1)F)F;51;Test;3110
CCCCC/C=C\Br;-98;Test;14245
COC(=O)c1ccc(cc1)Cl;43;Test;7600
FC(c1ccc2c(c1)Nc1c(S2)cccc1)(F)F;189;Test;1074
OC(=O)c1ccc(c(c1)C(F)(F)F)O;146;Test;5201
O=C1c2ccccc2C(=O)c2c1ccc(c2N)N;290;Test;18431
COc1cc(cc(c1O)OC)C1C2C(=O)OCC2C(c2c1cc1OCOc1c2)OC1OC2COC(OC2C(C1O)O)c1cccs1;244;Test;21512
Brc1ccc(c(c1)N)Br;54;Test;1579
Cc1nocc1C(=O)O;186;Test;4113
O=C1CCc2c1c(C)c(C)c(c2C)C;154;Test;10897
OC(=O)/C=C/c1c(F)c(F)c(c(c1F)F)F;153;Test;1171
COC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/c1ccccc1C(=O)OC;121;Test;9739
CN(c1ccc(cc1)C1(OC(=O)c2c1ccc(c2)N(C)C)c1ccc(cc1)N(C)C)C;182;Test;6682
CC1=CC(c2c1cccc2)c1ccccc1;61;Test;12408
Cc1ccc(c(c1)[N+](=O)[O-])N;117;Test;5373
O=Cc1[nH]ccc1COC(=O)C;60;Test;27302
CC(COC(=O)C1=C(C)NC(=O)NC1c1ccc2c(c1)OCO2)C;178;Test;11915
Clc1ccc(cn1)Cl;61;Test;1611
N#Cc1cc(C)cc(c1)C#N;164;Test;5989
c1ccc2c(c1)Oc1c(C2)cccc1;101;Test;15557
CCCCC(=O)N;103;Test;8716
CC(c1cc(C(C)C)c(cc1C(C)C)C(C)C)C;119;Test;14646
CCCCCCCCCCCCCCCC(=O)OCC(C1OC(=O)C(=C1O)O)O;112;Test;26351
OC(=O)c1c(C)ccc(c1O)Br;57;Test;10849
OB(c1cccnc1Cl)O;160;Test;2496
OCc1cc(OCc2cc(COc3cc(CO)cc(c3)CO)cc(c2)COc2cc(CO)cc(c2)CO)cc(c1)CO;144;Test;12015
OCC(C(C)(C)C)CO;55;Test;3065
OCCN(c1ccc(c(c1)C)/N=N/c1ccc(cc1Cl)[N+](=O)[O-])CCO;192;Test;17969
O=C1C=CC(=O)N1Cc1ccccc1;69;Test;7928
OCc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C;140;Test;3535
Cc1cnccc1N;108.5;Test;23833
COCC(=O)c1ccccc1;8;Test;24009
FC(c1nnc(n1N)S)(F)F;141;Test;10244
C[SiH](c1ccccc1)C;-124;Test;6926
COc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O;295;Test;25592
N1CCN(CC1)C(c1ccccc1)c1ccccc1;92;Test;358
CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC;41;Test;17476
OC(=O)c1oc2c(c1C)cccc2;196;Test;4101
OC1OCCOC1O;101;Test;467
Ic1ccc(c(c1)C(=O)O)Br;175;Test;2169
